##OS
1:AppName=漫画控-动漫爱好者神器|:0.000200:0.000200:1.000000
1:AppName=48374|:0.000200:0.000200:1.000000
1:AppName=28012|:0.000200:0.000200:1.000000
1:AppName=欢乐碰碰猫（单机游戏）|:0.000200:0.000200:1.000000
1:AppName=24173|:0.000200:0.000200:1.000000
1:AppName=梦入神机作品集－含圣王，永生，星河大帝，阳神等梦入神机作品全集|:0.000200:0.000200:1.000000
1:AppName=44059|:0.000200:0.000200:1.000000
1:AppName=pdf-notes for iPad (pdf reader/viewer, free)|:0.000200:0.000200:1.000000
1:AppName=32826|:0.000200:0.000200:1.000000
1:AppName=5940|:0.000200:0.000200:1.000000
1:AppName=McTube for YouTube|:0.000200:0.000200:1.000000
1:AppName=3692|:0.000200:0.000200:1.000000
1:AppName=22520|:0.000200:0.000200:1.000000
1:AppName=12130|:0.000200:0.000200:1.000000
1:AppName=41578|:0.000200:0.000200:1.000000
1:AppName=54223|:0.000200:0.000200:1.000000
1:AppName=8177|:0.000200:0.000200:1.000000
1:AppName=11998|:0.000200:0.000200:1.000000
1:AppName=45297|:0.000200:0.000200:1.000000
1:AppName=20199|:0.000200:0.000200:1.000000
1:AppName=38662|:0.000200:0.000200:1.000000
1:AppName=10181|:0.000200:0.000200:1.000000
1:AppName=宝宝学数学-全部内容免费，儿童加法,幼儿数字早教游戏|:0.000200:0.000200:1.000000
1:AppName=7122|:0.000200:0.000200:1.000000
1:AppName=16394|:0.000200:0.000200:1.000000
1:AppName=27233|:0.000200:0.000200:1.000000
1:AppName=50022|:0.000200:0.000200:1.000000
1:AppName=19003|:0.000200:0.000200:1.000000
1:AppName=47901|:0.000200:0.000200:1.000000
1:AppName=23498|:0.000200:0.000200:1.000000
1:AppName=12972|:0.000200:0.000200:1.000000
1:AppName=55589|:0.000200:0.000200:1.000000
1:AppName=5900|:0.000200:0.000200:1.000000
1:AppName=21567|:0.000200:0.000200:1.000000
1:AppName=14231|:0.000200:0.000200:1.000000
1:AppName=7628|:0.000200:0.000200:1.000000
1:AppName=52187|:0.000200:0.000200:1.000000
1:AppName=36328|:0.000200:0.000200:1.000000
1:AppName=4936|:0.000200:0.000200:1.000000
1:AppName=Talk交朋友 - 朋友, 聊天 App|:0.000200:0.000200:1.000000
1:AppName=4948|:0.000200:0.000200:1.000000
1:AppName=28401|:0.000200:0.000200:1.000000
1:AppName=50501|:0.000200:0.000200:1.000000
1:AppName=22677|:0.000200:0.000200:1.000000
1:AppName=46835|:0.000200:0.000200:1.000000
1:AppName=24572|:0.000200:0.000200:1.000000
1:AppName=闹钟&秒表&计时器&时钟&日历&整点闹钟|:0.000200:0.000200:1.000000
1:AppName=19013|:0.000200:0.000200:1.000000
1:AppName=32828|:0.000200:0.000200:1.000000
1:AppName=13658|:0.000200:0.000200:1.000000
1:AppName=21449|:0.000200:0.000200:1.000000
1:AppName=4473|:0.000200:0.000200:1.000000
1:AppName=51076|:0.000200:0.000200:1.000000
1:AppName=48528|:0.000200:0.000200:1.000000
1:AppName=26834|:0.000200:0.000200:1.000000
1:AppName=天天下书   搜索下载免费电子书 、epub 小说 、pdf 文档, 支持用iBooks 、Kindle 、stanza 、百度阅读 、QQ阅读 、新浪阅读 、多看阅读等多款阅读器打开|:0.000200:0.000200:1.000000
1:AppName=2606|:0.000200:0.000200:1.000000
1:AppName=51985|:0.000200:0.000200:1.000000
1:AppName=凡人修仙传+傲世九重天等仙侠玄幻精选|:0.000200:0.000200:1.000000
1:AppName=41116|:0.000200:0.000200:1.000000
1:AppName=18573|:0.000200:0.000200:1.000000
1:AppName=9177|:0.000200:0.000200:1.000000
1:AppName=14741|:0.000200:0.000200:1.000000
1:AppName=儿童学数学加法游戏|:0.000200:0.000200:1.000000
1:AppName=33627|:0.000200:0.000200:1.000000
1:AppName=18022|:0.000200:0.000200:1.000000
1:AppName=65439|:0.000200:0.000200:1.000000
1:AppName=22439|:0.000200:0.000200:1.000000
1:AppName=Tabloid PULSA|:0.000200:0.000200:1.000000
1:AppName=54218|:0.000200:0.000200:1.000000
1:AppName=无线u盘 - PDF,PPT,XLS,DOC,TXT,AVI,RMVB 全能格式文件管理|:0.000200:0.000200:1.000000
1:AppName=8078|:0.000200:0.000200:1.000000
